"target","variant","cause","domain","lambda"
"Bohol","BFL_domain","Prostate Cancer","AP",0.247892225041702
"Bohol","BFL_domain","Esophageal Cancer","AP",0.32376139933551
"Bohol","BFL_domain","Stomach Cancer","AP",0.246177878434159
"Bohol","BFL_domain","Cirrhosis","Dar",0.0369133180640214
"Bohol","BFL_domain","Epilepsy","Dar",0.193255044411185
"Bohol","BFL_domain","Pneumonia","Dar",0.0139510439028288
"Bohol","BFL_domain","COPD","Dar",0.10365938755766
"Bohol","BFL_domain","Acute Myocardial Infarction","Dar",0.00539265258973132
"Bohol","BFL_domain","Fires","Dar",0.172504465938556
"Bohol","BFL_domain","Renal Failure","Dar",0.0184372866653055
"Bohol","BFL_domain","AIDS","Dar",0.180764366890635
"Bohol","BFL_domain","Lung Cancer","Dar",0.167562822541506
"Bohol","BFL_domain","Maternal","Dar",0.112516261077995
"Bohol","BFL_domain","Drowning","Dar",0.179763795361281
"Bohol","BFL_domain","Other Cardiovascular Diseases","Dar",0.130537552922413
"Bohol","BFL_domain","Other Non-communicable Diseases","Dar",0.00831148936401554
"Bohol","BFL_domain","Falls","Dar",0.156797822201145
"Bohol","BFL_domain","Stroke","Dar",0.0296397819159127
"Bohol","BFL_domain","Road Traffic","Dar",0.0645892109556069
"Bohol","BFL_domain","Bite of Venomous Animal","Dar",0
"Bohol","BFL_domain","Diabetes","Dar",0.0288274799528869
"Bohol","BFL_domain","Other Infectious Diseases","Dar",0.141711030364384
"Bohol","BFL_domain","TB","Dar",0.0464034013685003
"Bohol","BFL_domain","Suicide","Dar",0.0710734392059861
"Bohol","BFL_domain","Other Injuries","Dar",0.184293122375079
"Bohol","BFL_domain","Cervical Cancer","Dar",0.19634338302675
"Bohol","BFL_domain","Malaria","Dar",0.220101246992925
"Bohol","BFL_domain","Asthma","Dar",0.167304926955164
"Bohol","BFL_domain","Diarrhea/Dysentery","Dar",0.116531853760816
"Bohol","BFL_domain","Colorectal Cancer","Dar",0.237034841927274
"Bohol","BFL_domain","Homicide","Dar",0.199705038703843
